ID,Brand,VehicleModel,ManufacturingYear,Type,rating,color,Duty,fuel,CylinderCount,type of gear,capacity,Odometer,#airbags,price
9,Toyota,I own Camry.,2014,SEDAN,3.0,Jet Black,-9606.0,Electric Hybrid,4.0,others,2.5,398069  kilometer,12,1098
48,Honda,Civic,2016,Sedan,7.0,Sapphire Blue,10891.0,Gas,0.0,R,0,87768  kilometer,4,34889
123,Hyundai,H1,2008,minivan,0.0,Lemon Yellow,1347.0,Dies,4.0,others,2.5,74444 km,4,13328
127,Hyundai,H1,2011,minivan,2.0,Lemon Yellow,862.0,Dies,0.0,auto,2.5,124444  kilo,4,22894
130,Lexus,I have the fastest model ever.. yes you got it right it's GX 460,2010,jeep,7.0,Jet Black,1811.0,Gas,18.0,auto,0,155821  kilo,0,39829
131,Lexus,I own GX 460.,2015,jeep,0.0,Jet Black,1646.0,Gas,8.0,auto,4.6,102907 km,0,706
133,Mercedes-Benz,E 300,2017,Sedan4,1.0,Jet Black,-8983.0,Gas,4.0,others,2,50930  kilo,12,22580
235,Mercedes-Benz,my model which is GLA 250 is the best,2017,jeep,1.0,Jet Black,1017.0,Gas,4.0,others,2,44995 km,0,42651
282,Hyundai,H1,2016,universal,2.0,Metallic,1091.0,Dies,4.0,others,2.5,97129 km,4,43576
321,Toyota,I have the fastest model ever.. yes you got it right it's Prius,2012,sedan,3.0,Pearl White,586.0,Electric Hybrid,4.0,auto,1.8,TOTAL 22400 km,8,17249
333,Toyota,I own CHR.,2019,Jeep0,3.0,Sapphire Blue,-8923.0,Gas,4.0,auto,2,24339 KM,12,627
335,BMW,I own X5.,2012,Jeep1,0.0,Jet Black,919.0,Dies,6.0,auto,3,420794 KM,12,12388
351,Lexus,CT 200H,2014,hatchback,1.0,Crimson,308.0,Electric Hybrid,4.0,auto,1.8,132563  kilo,100,10349
391,Toyota,my model which is Prius is the best,2011,hatchback,3.0,Metallic,10645.0,Electric Hybrid,4.0,AUTO,1.8,284678  kilometer,12,12544
440,Toyota,my model which is Prius is the best,2009,hatchback,5.0,Sapphire Blue,878.0,Electric Hybrid,4.0,auto,1.8,174000 KM,8,15367
467,Lexus,I have the fastest model ever.. yes you got it right it's GX 470,2008,JEEP,-1.0,Pearl White,2455.0,Gas,8.0,auto,4.7,TOTAL 263190 km,0,862
501,Toyota,my model which is Corolla is the best,2014,sedan,2.0,Metallic,1266.0,Electric Hybrid,4.0,auto,1.5,100000 km,8,10976
510,Hyundai,I have the fastest model ever.. yes you got it right it's Tucson,2017,jeep,1.0,Pearl White,877.0,Dies,4.0,auto,1.7,97880 KM,4,35570
535,Honda,I own Civic.,1918,Sedan,0.0,Pearl White,1079.0,Gas,4.0,auto,2,0 km,4,38213
578,Toyota,Prius,2014,HATCHBACK,3.0,Pearl White,308.0,Electric Hybrid,4.0,others,1.8,140414 km,112,188
635,Toyota,my model which is Highlander is the best,2014,Sedan4,1.0,Jet Black,517.0,Electric Hybrid,6.0,gear,3.5,TOTAL 166560 km,1012,39201
638,Chevrolet,I have the fastest model ever.. yes you got it right it's Malibu,2012,WOOW Sedan,2.0,Metallic,642.0,Gas,4.0,others,2,TOTAL 65006 km,4,21699
652,Hyundai,my model which is Elantra is the best,2013,sedan,3.0,Charcoal,585.0,Gas,4.0,auto,1.8,117000 km,8,18503
718,Audi,A7,2014,WOOW Hatchback,1.0,Charcoal,10915.0,Gas,6.0,auto,3,191373 km,0,9565
757,nissan,Frontier,2017,SEDAN,0.0,Crimson,1946.0,Gas,16.0,others,4,81757 KM,12,7213
823,Chevrolet,Cruze,2018,WOOW Sedan,1.0,Pearl White,781.0,Gas,0.0,auto,1.4 Turbo,15333 km,8,16935
851,Subaru,Forester,2011,jeep,1.0,Charcoal,10862.0,Gas,4.0,others,0,118500 km,94,14113
868,Toyota,CAMRY,2019,Sedan2,0.0,Jet Black,607.0,Electric Hybrid,4.0,auto,2.5,39552 km,12,251
883,Lexus,I have the fastest model ever.. yes you got it right it's GX 470,2008,JEEP,0.0,Jet Black,2455.0,Gas,8.0,auto,4.7,218126 km,0,282
909,Kia,I own Sportage.,2120,sedan,0.0,Metallic,-8727.0,Gas,4.0,auto,2.4,2741,12,12074
977,Lexus,I own GX 470.,2013,Jeep3,4.0,Jet Black,1360.0,Gas,8.0,auto,0,202651 KM,0,6272
978,Hyundai,my model which is Elantra is the best,2011,Sedan1,2.0,Metallic,-9417.0,Gas,4.0,auto,1.6,132742 km,4,19121
979,Ssangyong,I own Actyon.,2016,JEEP,0.0,Pearl White,730.0,Dies,14.0,auto,1.6,33261  kilo,4,43576
995,Toyota,CHR,2018,JEEP,2.0,Pearl White,1079.0,Gas,4.0,R,2,38712 KM,12,9722
1022,Kia,Optima,2012,sedan,2.0,Pearl White,642.0,other,4.0,auto,2,95000  kilo,10,70
1034,Toyota,CAMRY,2014,sedan,4.0,Pearl White,394.0,Electric Hybrid,4.0,auto,2.5,109798 KM,12,5488
1122,Ssangyong,I own REXTON.,1910,jeep,3.0,Jet Black,1099.0,Dies,14.0,auto,2.7,151949 km,4,24029
1124,Honda,I own FIT.,2117,universal,0.0,Jet Black,382.0,Electric Hybrid,4.0,auto,1.5,29220 KM,4,41867
